feature1,feature2,label
0.7,0.56,1.0
0.6,0.05,1.0
0.31,0.63,1.0
0.72,0.32,1.0
0.63,0.6,1.0
-0.53,-0.37,-1.0
-0.3,-0.3,-1.0
0.27,0.57,1.0
-0.45,-0.79,-1.0
-0.67,-0.55,-1.0
-0.43,0.16,-1.0
0.75,0.78,1.0
-0.41,-0.45,-1.0
0.51,0.83,1.0
-0.49,-0.06,-1.0
0.35,0.3,1.0
0.71,0.93,1.0
-0.28,-0.15,-1.0
-0.57,-0.16,-1.0
-0.53,-0.25,-1.0
-0.39,-0.54,-1.0
0.41,0.83,1.0
0.66,0.64,1.0
-0.55,-0.74,-1.0
0.77,0.79,1.0
0.63,-0.01,1.0
-0.35,-0.47,-1.0
-0.63,-0.77,-1.0
0.48,0.82,1.0
0.23,0.35,1.0
0.36,0.54,1.0
-0.57,-0.5,-1.0
0.79,0.32,1.0
-0.88,-0.54,-1.0
-0.6,-0.18,-1.0
-0.48,-0.43,-1.0
0.36,0.41,1.0
-0.27,-0.38,-1.0
-0.41,-0.56,-1.0
0.66,0.62,1.0
-0.47,-0.67,-1.0
-0.49,-0.62,-1.0
0.45,0.81,1.0
-0.38,-0.7,-1.0
-0.27,-0.09,-1.0
0.75,0.45,1.0
-0.17,-0.19,-1.0
-0.14,-0.11,-1.0
0.32,0.63,1.0
-0.27,-0.64,-1.0
-0.36,-0.7,-1.0
0.57,0.44,1.0
0.48,0.2,1.0
-0.5,-0.63,-1.0
0.14,0.15,1.0
-0.68,-0.66,-1.0
0.39,0.81,1.0
-0.61,-0.21,-1.0
0.66,0.68,1.0
0.45,0.62,1.0
0.59,0.42,1.0
0.85,0.49,1.0
0.17,0.5,1.0
-0.77,-0.27,-1.0
-0.44,-0.87,-1.0
0.53,0.3,1.0
0.22,0.41,1.0
0.7,0.57,1.0
-0.63,-0.84,-1.0
0.6,0.54,1.0
0.6,0.61,1.0
-0.24,-0.29,-1.0
-0.47,-0.59,-1.0
-0.83,-0.26,-1.0
-0.67,-0.62,-1.0
-0.58,-0.46,-1.0
-0.07,-0.54,-1.0
0.9,0.46,1.0
0.62,0.37,1.0
-0.71,-0.64,-1.0
-0.61,-0.44,-1.0
0.56,0.76,1.0
-0.52,-0.49,-1.0
-0.48,0.02,-1.0
-0.83,-0.44,-1.0
0.71,0.21,1.0
0.82,0.57,1.0
-0.55,-0.56,-1.0
-0.37,-0.76,-1.0
-0.85,-0.39,-1.0
-0.49,-0.56,-1.0
0.8,0.24,1.0
-0.47,-0.65,-1.0
0.37,0.38,1.0
0.74,0.5,1.0
0.24,0.46,1.0
0.69,0.52,1.0
-0.41,-0.29,-1.0
-0.14,-0.3,-1.0
-0.45,-0.42,-1.0
