feature1,feature2,label
-0.2507,-0.2651,-1.0
0.5474,0.06125,1.0
0.488,-0.02962,1.0
0.2979,0.2656,1.0
-0.4866,-0.285,-1.0
-0.1384,-0.562,-1.0
-0.583,-0.1495,-1.0
0.4773,0.223,1.0
0.3716,0.364,1.0
0.0839,0.3254,1.0
-0.04865,-0.08954,-1.0
0.2474,-0.0842,1.0
0.0437,0.359,1.0
-0.39,-0.4578,-1.0
0.2462,0.4521,1.0
-0.5747,-0.523,-1.0
0.0622,-0.03687,1.0
0.4194,0.5615,1.0
-0.2563,-0.478,-1.0
0.388,0.3574,1.0
-0.3203,-0.3315,-1.0
-0.1764,-0.6567,-1.0
-0.445,-0.1758,-1.0
0.282,0.1043,1.0
0.435,0.02711,1.0
0.2725,0.4622,1.0
-0.373,-0.402,-1.0
0.10284,0.4656,1.0
0.312,0.5776,1.0
0.2837,0.6484,1.0
-0.344,-0.437,-1.0
-0.1825,-0.2062,-1.0
0.2617,0.5127,1.0
-0.1715,-0.2642,-1.0
-0.4949,-0.3906,-1.0
-0.2095,-0.3445,-1.0
0.01991,0.01441,-1.0
0.4258,0.864,1.0
0.741,0.8164,1.0
0.4531,0.2073,1.0
-0.4746,-0.0485,-1.0
-0.2329,0.3975,1.0
-0.4678,-0.4285,-1.0
-0.5713,-0.4404,-1.0
0.4082,0.1018,1.0
-0.2351,-0.05112,-1.0
-0.1873,-0.668,-1.0
-0.303,-0.3628,-1.0
0.2002,0.833,1.0
-0.05765,0.1272,1.0
0.5283,0.1625,1.0
0.1802,0.4143,1.0
-0.4106,-0.4238,-1.0
0.1677,0.4631,1.0
0.09705,0.129,1.0
-0.06165,-0.353,-1.0
-0.1906,-0.09705,-1.0
0.3452,0.1079,1.0
0.238,0.2502,1.0
-0.1475,-0.0862,-1.0
-0.01142,-0.5073,-1.0
-0.0745,0.372,1.0
0.178,0.171,1.0
-0.01761,0.3064,1.0
-0.15,-0.4993,-1.0
-0.1478,-0.06946,-1.0
0.09875,0.504,1.0
0.4526,0.2428,1.0
0.671,0.366,1.0
-0.2021,-0.391,-1.0
0.1188,0.3328,1.0
0.11255,0.4277,1.0
-0.3877,-0.2656,-1.0
-0.4763,-0.1469,-1.0
-0.3687,-0.2625,-1.0
-0.03003,-0.425,-1.0
-0.6006,-0.9062,-1.0
0.3574,0.4087,1.0
0.6807,0.10266,1.0
0.642,-0.01953,1.0
0.10785,0.2678,1.0
-0.1842,-0.481,-1.0
0.1254,0.2874,1.0
0.2693,0.3452,1.0
-0.3838,-0.4739,-1.0
-0.3252,-0.364,-1.0
-0.271,0.02501,-1.0
-0.02632,0.3845,1.0
0.01651,-0.1294,-1.0
